name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"INTL CANINE GENETICS INC"	"459220"	1992	28128	1996	28128	1	1992	1996	1
"CAMBRIDGE TECHNOLOGY PARTNER"	"132524"	1992	28130	2000	28130	1	1992	2000	
"CENTRAL VIRGINIA BANKSHARES"	"155792"	1993	28135	2006	28135	1	1993	2006	
"ORTHOPEDIC TECHNOLOGY INC"	"68750T"	1992	28137	1995	28137	1	1992	1995	1
"SAFETY FIRST INC"	"786475"	1992	28138	1999	28138	1	1992	1999	
"SANMINA-SCI CORP"	"800907"	1992	28139	2006	28139	1	1992	2006	1
"STYLES ON VIDEO INC"	"864222"	1993	28140	1996	28140	1	1993	1996	
"WIND RIVER SYSTEMS INC"	"973149"	1992	28145	2006	28145	1	1992	2006	1
"TRANS CONTINENTAL ENTMT GRP"	"89319M"	1992	28146	2002	28146	1	1992	2002	
"EQUINOX SYSTEMS INC"	"294436"	1992	28147	1999	28147	1	1992	1999	
"AVIATION GENERAL INC"	"05366T"	1992	28149	2003	28149	1	1992	2003	
"HEMOSOL CORP"	"423693"	1998	28150	2004	28150	1	1998	2004	1
"MIDSOUTH BANCORP INC"	"598039"	1993	28152	2006	28152	1	1993	2006	
"TRICO BANCSHARES"	"896095"	1993	28155	2006	28155	1	1993	2006	
"INTEGRATED SECURITY SYS INC"	"45812J"	1992	28156	2006	28156	1	1992	2006	
"SOLIGEN TECHNOLOGIES INC"	"83423G"	1993	28157	2000	28157	1	1993	2000	0
"TIG HOLDINGS INC"	"872469"	1992	28159	1998	28159	1	1992	1998	
"POTOMAC CAPITAL INVESTMENT"	"73799X"	1990	28160	1998	28160	1	1990	1998	
"ACCELIO CORP"	"004296"	1991	28165	2000	28165	1	1991	2000	0
"MARTIN COLOR-FI INC"	"573183"	1992	28166	1997	28166	1	1992	1997	
"WILLIAMS COAL SEAM RYL TRUST"	"969450"	1992	28168	2006	28168	1	1992	2006	
"AGRIUM INC"	"008916"	1993	28169	2006	28169	1	1993	2006	1
"PEPSI-GEMEX SA DE CV  -GDR"	"713435"	1992	28170	2001	28170	1	1992	2001	0
"WEST COAST BANCORP INC/FL"	"951901"	1993	28174	1996	28174	1	1993	1996	
"APTARGROUP INC"	"038336"	1992	28176	2006	28176	1	1992	2006	1
"GELSTAT CORP"	"368533"	1992	28177	2004	28177	1	1992	2004	0
"HARMONY BROOK INC"	"413188"	1992	28178	1996	28178	1	1992	1996	1
"O'REILLY AUTOMOTIVE INC"	"686091"	1992	28180	2006	28180	1	1992	2006	
