pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
10649432	7620	"NBER"	1950	7620	2006																
10649932	147565	"PASS1"	2000	147565	2006																
10650312	19595	"UPDT2"	1992	19595	1998	13556	1999	13556	2001												
10650547	10185	"NBER"	1984	10185	2000																
10650607	12570	"NBER"	1985	12570	1999																
10650698	12389	"MTCH1"	1985	12389	2006																
10651576	8365	"PASS1"	1983	8365	2005																
10651598	10088	"NBER"	1950	10088	1986																
10651689	3820	"MTCH1"	1974	3820	2006																
10651718	7537	"NBER"	1951	7537	2000																
10651831	60928	"PASS1"	1994	60928	2002																
10651882	3135	"NBER"	1972	3135	1989	4981	1990	4981	1995												
10652264	5071	"NBER"	1950	5071	2005																
10652324	8650	"NBER"	1960	8650	1983																
10652336	1078	"NBER"	1950	1078	2006																
10652508	12154	"NBER"	1985	12154	1991																
10652564	1498	"NBER"	1963	1498	1994																
10652774	148276	"PASS1"	2000	148276	2005																
10653584	8994	"PASS1"	1950	8994	1970																
10654088	12250	"NBER"	1985	12250	2006																
10654139	10809	"NBER"	1961	10809	1995	10150	1996	10150	2005												
10654491	6893	"NBER"	1961	6893	1973																
10654511	24783	"PASS1"	1977	10473	1981	24783	1991	24783	2006												
10654807	7139	"NBER"	1950	7139	2005	11465	2006	11465	2006												
10654862	2893	"NBER"	1950	2893	1989																
10654947	1755	"MTCH1"	1950	1755	1998																
10654991	15751	"NBER"	1960	4134	1985	15751	1988	15751	1989												
10655112	11522	"PASS1"	1967	11522	1971																
10655649	2116	"NBER"	1971	2116	1987																
10655753	10275	"MTCH1"	1980	10275	2005																
10655960	2526	"MTCH1"	2000	2526	2006																
10655962	15172	"MTCH1"	1985	15172	2005																
10656194	62856	"PASS1"	1995	62856	1998																
10657449	9050	"MTCH1"	1982	9050	1990																
10657739	10441	"NBER"	1968	10441	2006																
10657895	63292	"NBER"	1960	5590	1973	63292	1996	63292	1998												
10658312	9818	"MTCH1"	1962	9818	2006																
10658989	13134	"PHRM"	1986	13134	1994	5180	1995	5180	2005												
10659503	101352	"MTCH1"	1990	101352	2006																
10659948	12623	"PASS1"	1985	12623	1988																
10660523	5229	"NBER"	1950	5229	2006																
10660795	7040	"MTCH1"	1965	7040	1993	4060	1994	4060	1994	100049	1995	100049	1998								
10661203	4088	"MTCH1"	1971	4088	1986																
10661224	4967	"NBER"	1960	4967	1983																
10661319	12861	"MTCH1"	1985	12861	1985																
10661454	120877	"UPDT2"	1997	120877	2006																
10661851	2248	"PASS1"	1982	2248	1985																
10662353	19349	"MTCH1"	1994	19349	2006																
10662684	3642	"NBER"	1950	3642	1996																
10662949	29156	"PASS1"	1992	29156	2006																
10663610	202421	"MTCH1"	2001	202421	2005																
10663676	10332	"FRAT"	1960	10332	2006																
10663747	2112	"PASS1"	1980	2112	1985																
10664166	3854	"PASS1"	1973	3854	1988																
10664424	9236	"PHRM"	1961	9236	1996	13467	1997	13467	2006												
10664711	10156	"FRAT"	1950	10156	2006																
10664800	6259	"NBER"	1960	6259	1999																
10664899	10733	"NBER"	1982	10733	2003																
10664927	8007	"NBER"	1959	8007	2006																
10665139	8972	"NBER"	1950	8972	2006																
10665197	6599	"PASS1"	1984	6599	1985																
10665786	14456	"NBER"	1987	14456	1989																
10665867	13621	"PASS1"	1986	13621	1997																
10665905	24953	"PASS1"	1990	24953	1995	8990	1996	8990	2001												
10666179	3981	"PASS1"	1983	3981	1987	10275	1988	10275	2004												
10666584	14472	"NBER"	1950	9036	1978	14472	1987	14472	1993												
10666684	7718	"PASS1"	1974	7718	1999	100572	2000	100572	2005												
10666842	1879	"MTCH1"	1974	1879	1983																
10667075	4520	"NBER"	1968	4520	2004																
